TIMESTAMP;TASK_INSTANCE_ID;NAME;ORDER_NUM;ELAPSED_TIME
25:00,7;10;scew_2;12;19216
25:00,7;10;scew_3;13;79
25:35,6;10;scew_4;14;34852
25:44,1;10;ring;15;8532
25:51,4;10;dummy_piston;16;7235
26:11,5;11;bottom;1;
26:13,9;11;piston;2;2407
26:18,6;11;small_spring;3;4649
26:22,5;11;cap;4;3899
26:32,6;11;hex_screw_1;5;10100
26:45,1;11;hex_screw_2;6;12500
26:56,9;11;valve;7;11786
27:01,2;11;top;8;4319
27:04,0;11;hex_piston;9;2836
27:26,9;11;large_spring;10;22904
27:37,2;11;screw_1;11;10255
27:56,3;11;scew_2;12;19092
28:08,6;11;scew_3;13;12364
28:21,8;11;scew_4;14;13162
28:30,5;11;ring;15;8748
28:50,0;11;dummy_piston;16;19441
29:06,3;12;bottom;1;
29:08,8;12;piston;2;2551
29:13,7;12;small_spring;3;4880
29:18,1;12;cap;4;4357
29:34,6;12;hex_screw_1;5;16555
29:45,2;12;hex_screw_2;6;10600
30:05,3;12;valve;7;20120
30:14,9;12;top;8;9571
30:17,2;12;hex_piston;9;2334
30:23,5;12;large_spring;10;6208
30:27,5;12;screw_1;11;4044
30:53,7;12;scew_2;12;26175
31:07,5;12;scew_3;13;13841
31:16,9;12;scew_4;14;9336
31:27,9;12;ring;15;11022
31:41,0;12;dummy_piston;16;13168
32:02,7;13;bottom;1;
32:04,8;13;piston;2;2095
32:10,0;13;small_spring;3;5190
32:14,1;13;cap;4;4120
32:22,3;13;hex_screw_1;5;8215
32:33,5;13;hex_screw_2;6;11215
32:45,4;13;valve;7;11892
32:50,1;13;top;8;4623
32:59,2;13;hex_piston;9;9099
33:16,2;13;large_spring;10;17028
33:28,0;13;screw_1;11;11858
33:41,4;13;scew_2;12;13363
33:52,0;13;scew_3;13;10606
34:02,4;13;scew_4;14;10386
34:11,5;13;ring;15;9117
34:25,3;13;dummy_piston;16;13743
34:46,4;14;bottom;1;
34:49,1;14;piston;2;2714
34:54,0;14;small_spring;3;4845
34:57,9;14;cap;4;3928
35:23,4;14;hex_screw_1;5;25473
35:38,3;14;hex_screw_2;6;14903
35:53,8;14;valve;7;15473
36:01,9;14;top;8;8121
36:04,8;14;hex_piston;9;2964
36:15,3;14;large_spring;10;10444
36:20,3;14;screw_1;11;5039
36:39,3;14;scew_2;12;18954
36:50,4;14;scew_3;13;11078
37:00,6;14;scew_4;14;10254
37:09,3;14;ring;15;8676
37:19,1;14;dummy_piston;16;9811
37:31,0;15;bottom;1;
37:32,9;15;piston;2;1878
37:40,3;15;small_spring;3;7381
37:43,8;15;cap;4;3558
37:56,7;15;hex_screw_1;5;12841
38:08,2;15;hex_screw_2;6;11533
38:20,3;15;valve;7;12081
38:24,8;15;top;8;4452
38:27,2;15;hex_piston;9;2397
38:31,7;15;large_spring;10;4536
38:40,1;15;screw_1;11;8367
38:55,8;15;scew_2;12;15766
39:11,3;15;scew_3;13;15499
39:31,2;15;scew_4;14;19919
39:45,7;15;ring;15;14446
39:53,3;15;dummy_piston;16;7644
40:05,0;16;bottom;1;
40:07,1;16;piston;2;2093
40:15,6;16;small_spring;3;8458
40:19,2;16;cap;4;3643
40:27,0;16;hex_screw_1;5;7800
40:35,7;16;hex_screw_2;6;8666
41:01,4;16;valve;7;25694
41:05,8;16;top;8;4412
41:07,9;16;hex_piston;9;2053
41:12,2;16;large_spring;10;4302
41:16,1;16;screw_1;11;3933
41:37,3;16;scew_2;12;21207
41:49,8;16;scew_3;13;12463
